date,season,home_team,away_team,b365h,b365d,b365a,result,matchweek
2003-08-16,2004,Arsenal,Everton,0.6836070225652855,0.2210934613977122,0.09529951603700236,H,1
2003-08-16,2004,Birmingham,Tottenham,0.39011304087109805,0.2773011636646854,0.3325857954642167,H,1
2003-08-16,2004,Blackburn,Wolves,0.5889750457409485,0.258846302736438,0.15217865152261348,H,1
2003-08-16,2004,Fulham,Middlesbrough,0.40148066585114994,0.27488013422855,0.3236391999203001,H,1
2003-08-16,2004,Leicester,Southampton,0.36742762957468056,0.2805587044779504,0.35201366594736905,D,1
2003-08-16,2004,Man United,Bolton,0.7497394088914258,0.17865837140408303,0.07160221970449131,H,1
2003-08-16,2004,Portsmouth,Aston Villa,0.39011304087109805,0.2773011636646854,0.3325857954642167,H,1
2003-08-17,2004,Charlton,Man City,0.4102598076084124,0.2606555855118122,0.3290846068797754,A,1
2003-08-17,2004,Leeds,Newcastle,0.3325857954642167,0.2773011636646854,0.390113040871098,D,1
2003-08-17,2004,Liverpool,Chelsea,0.4110820429961455,0.2747011013533121,0.3142168556505423,A,1
2003-08-23,2004,Bolton,Blackburn,0.36535508173220715,0.26928983653558564,0.36535508173220715,D,2
2003-08-23,2004,Chelsea,Leicester,0.773209539336178,0.15642972989451517,0.07036073076930686,H,2
2003-08-23,2004,Everton,Fulham,0.5232713328945708,0.2596496889520821,0.21707897815334695,H,2
2003-08-23,2004,Man City,Portsmouth,0.5681734154247754,0.24242844053330612,0.18939814404191851,D,2
2003-08-23,2004,Newcastle,Man United,0.29968057160991124,0.2791995051835905,0.4211199232064984,A,2
2003-08-23,2004,Southampton,Birmingham,0.49164841173490703,0.27410465363841535,0.23424693462667778,D,2
2003-08-23,2004,Tottenham,Leeds,0.466437438629289,0.2734019448544904,0.2601606165162207,H,2
2003-08-23,2004,Wolves,Charlton,0.3878513108866449,0.27511281679544214,0.337035872317913,A,2
2003-08-24,2004,Aston Villa,Liverpool,0.29968057160991124,0.2791995051835905,0.4211199232064984,D,2
2003-08-24,2004,Middlesbrough,Arsenal,0.21707897815334695,0.2596496889520821,0.5232713328945708,A,2
2003-08-25,2004,Blackburn,Man City,0.466437438629289,0.2734019448544904,0.2601606165162207,A,2
2003-08-26,2004,Charlton,Everton,0.3885233473630517,0.28047527769773756,0.33100137493921067,D,2
2003-08-26,2004,Leeds,Southampton,0.466437438629289,0.2734019448544904,0.2601606165162207,D,2
2003-08-26,2004,Leicester,Middlesbrough,0.36742762957468056,0.2805587044779504,0.35201366594736905,D,2
2003-08-26,2004,Portsmouth,Bolton,0.4442231000157251,0.27553252223094515,0.2802443777533298,H,2
2003-08-27,2004,Arsenal,Aston Villa,0.751430714892947,0.16065265562523617,0.0879166294818168,H,2
2003-08-27,2004,Liverpool,Tottenham,0.6369830963430679,0.24820870519322408,0.11480819846370796,D,2
2003-08-27,2004,Man United,Wolves,0.8527889436923097,0.1075138129209211,0.03969724338676916,H,2
2003-08-30,2004,Aston Villa,Leicester,0.5698290735843113,0.2600585703825346,0.17011235603315394,H,3
2003-08-30,2004,Bolton,Charlton,0.40148066585114994,0.27488013422855,0.3236391999203001,D,3
2003-08-30,2004,Chelsea,Blackburn,0.6362693449069341,0.23970112767536111,0.12402952741770464,D,3
2003-08-30,2004,Everton,Liverpool,0.35201366594736905,0.2805587044779504,0.36742762957468056,A,3
2003-08-30,2004,Middlesbrough,Leeds,0.466437438629289,0.2734019448544904,0.2601606165162207,A,3
2003-08-30,2004,Newcastle,Birmingham,0.620844667588932,0.2552751635159593,0.12388016889510883,A,3
2003-08-30,2004,Tottenham,Fulham,0.5698290735843113,0.2600585703825346,0.17011235603315394,A,3
2003-08-30,2004,Wolves,Portsmouth,0.3310013749392107,0.2804752776977376,0.3885233473630518,D,3
2003-08-31,2004,Man City,Arsenal,0.21707897815334695,0.2596496889520821,0.5232713328945708,A,3
2003-08-31,2004,Southampton,Man United,0.17011235603315394,0.2600585703825346,0.5698290735843113,H,3
2003-09-13,2004,Arsenal,Portsmouth,0.752551860253893,0.17691362457697427,0.07053451516913266,D,5
2003-09-13,2004,Blackburn,Liverpool,0.3236391999203001,0.27488013422855,0.40148066585114994,A,5
2003-09-13,2004,Bolton,Middlesbrough,0.40280510325482916,0.2808784229639482,0.3163164737812227,H,5
2003-09-13,2004,Charlton,Man United,0.1681028577964304,0.24190436523525904,0.5899927769683105,A,5
2003-09-13,2004,Chelsea,Tottenham,0.6231253334947872,0.24057431946342525,0.1363003470417877,H,5
2003-09-13,2004,Everton,Newcastle,0.3891173386075778,0.28018215865312435,0.3307005027392979,D,5
2003-09-13,2004,Southampton,Wolves,0.5903318706110184,0.2581001809112886,0.15156794847769278,H,5
2003-09-14,2004,Birmingham,Fulham,0.5125645792180478,0.27157828934118144,0.2158571314407709,D,5
2003-09-14,2004,Man City,Aston Villa,0.5125645792180478,0.27157828934118144,0.2158571314407709,H,5
2003-09-15,2004,Leicester,Leeds,0.35201366594736905,0.2805587044779504,0.36742762957468056,H,5
2003-09-20,2004,Aston Villa,Charlton,0.49335302103153766,0.273234265259186,0.2334127137092763,H,6
2003-09-20,2004,Fulham,Man City,0.40148066585114994,0.27488013422855,0.3236391999203001,D,6
2003-09-20,2004,Leeds,Birmingham,0.4442231000157251,0.27553252223094515,0.2802443777533298,A,6
2003-09-20,2004,Liverpool,Leicester,0.7419987276131612,0.18073967779281136,0.07726159459402743,H,6
2003-09-20,2004,Newcastle,Bolton,0.6362693449069341,0.23970112767536111,0.12402952741770464,D,6
2003-09-20,2004,Portsmouth,Blackburn,0.41087975344145616,0.2745046478451725,0.3146155987133714,A,6
2003-09-20,2004,Tottenham,Southampton,0.466437438629289,0.2734019448544904,0.2601606165162207,A,6
2003-09-20,2004,Wolves,Chelsea,0.12402952741770464,0.23970112767536111,0.6362693449069341,A,6
2003-09-21,2004,Man United,Arsenal,0.466437438629289,0.2734019448544904,0.2601606165162207,D,6
2003-09-21,2004,Middlesbrough,Everton,0.40148066585114994,0.27488013422855,0.3236391999203001,H,6
2003-09-26,2004,Arsenal,Newcastle,0.6162111143771337,0.2402056164632258,0.1435832691596404,H,6
2003-09-27,2004,Birmingham,Portsmouth,0.49335302103153766,0.273234265259186,0.2334127137092763,H,7
2003-09-27,2004,Bolton,Wolves,0.5899927769683107,0.24190436523525902,0.16810285779643036,D,7
2003-09-27,2004,Chelsea,Aston Villa,0.7231441869484709,0.1890364312893137,0.08781938176221533,H,7
2003-09-27,2004,Leicester,Man United,0.12402952741770464,0.23970112767536111,0.6362693449069341,A,7
2003-09-27,2004,Southampton,Middlesbrough,0.5233446818854061,0.27766358267680125,0.1989917354377929,A,7
2003-09-28,2004,Blackburn,Fulham,0.5232713328945708,0.2596496889520821,0.21707897815334695,A,7
2003-09-28,2004,Charlton,Liverpool,0.19899173543779286,0.2776635826768012,0.5233446818854061,H,7
2003-09-28,2004,Everton,Leeds,0.5125645792180478,0.27157828934118144,0.2158571314407709,H,7
2003-09-28,2004,Man City,Tottenham,0.5499994306296405,0.2594882186459252,0.19051235072443426,D,7
2003-10-04,2004,Fulham,Leicester,0.5899927769683107,0.24190436523525902,0.16810285779643036,H,8
2003-10-04,2004,Leeds,Blackburn,0.36535508173220715,0.26928983653558564,0.36535508173220715,H,8
2003-10-04,2004,Liverpool,Arsenal,0.36535508173220715,0.26928983653558564,0.36535508173220715,A,8
2003-10-04,2004,Man United,Birmingham,0.7419987276131612,0.18073967779281136,0.07726159459402743,H,8
2003-10-04,2004,Newcastle,Southampton,0.549966154193487,0.2512922854161387,0.1987415603903745,H,8
2003-10-04,2004,Portsmouth,Charlton,0.4442231000157251,0.27553252223094515,0.2802443777533298,A,8
2003-10-04,2004,Tottenham,Everton,0.41087975344145616,0.2745046478451725,0.3146155987133714,H,8
2003-10-04,2004,Wolves,Man City,0.2761411399218995,0.2546783365189168,0.46918052355918377,H,8
2003-10-05,2004,Aston Villa,Bolton,0.5232713328945708,0.2596496889520821,0.21707897815334695,D,8
2003-10-05,2004,Middlesbrough,Chelsea,0.19874156039037444,0.25129228541613857,0.5499661541934869,A,8
2003-10-14,2004,Birmingham,Chelsea,0.19874156039037444,0.25129228541613857,0.5499661541934869,D,9
2003-10-18,2004,Arsenal,Chelsea,0.4211199232064984,0.2791995051835905,0.29968057160991124,H,10
2003-10-18,2004,Fulham,Wolves,0.6067248327082958,0.24196674668024026,0.15130842061146393,D,10
2003-10-18,2004,Leeds,Man United,0.1681028577964304,0.24190436523525904,0.5899927769683105,A,10
2003-10-18,2004,Man City,Bolton,0.5716034277645734,0.25910449997621404,0.16929207225921258,H,10
2003-10-18,2004,Middlesbrough,Newcastle,0.36535508173220715,0.26928983653558564,0.36535508173220715,A,10
2003-10-18,2004,Portsmouth,Liverpool,0.2158571314407709,0.27157828934118144,0.5125645792180478,H,10
2003-10-19,2004,Birmingham,Aston Villa,0.41098729609984724,0.2998001744254289,0.289212529474724,D,10
2003-10-19,2004,Everton,Southampton,0.466437438629289,0.2734019448544904,0.2601606165162207,D,10
2003-10-19,2004,Leicester,Tottenham,0.35201366594736905,0.2805587044779504,0.36742762957468056,A,10
2003-10-20,2004,Blackburn,Charlton,0.49335302103153766,0.273234265259186,0.2334127137092763,A,10
2003-10-21,2004,Fulham,Newcastle,0.36742762957468056,0.2805587044779504,0.35201366594736905,A,10
2003-10-25,2004,Aston Villa,Everton,0.466437438629289,0.2734019448544904,0.2601606165162207,D,11
2003-10-25,2004,Bolton,Birmingham,0.38333243620889274,0.279728746054471,0.3369388177366362,A,11
2003-10-25,2004,Chelsea,Man City,0.6369830963430679,0.24820870519322408,0.11480819846370796,H,11
2003-10-25,2004,Liverpool,Leeds,0.6369830963430679,0.24820870519322408,0.11480819846370796,H,11
2003-10-25,2004,Man United,Fulham,0.773209539336178,0.15642972989451517,0.07036073076930686,A,11
2003-10-25,2004,Newcastle,Portsmouth,0.6231253334947872,0.24057431946342525,0.1363003470417877,H,11
2003-10-25,2004,Southampton,Blackburn,0.466437438629289,0.2734019448544904,0.2601606165162207,H,11
2003-10-25,2004,Wolves,Leicester,0.4442231000157251,0.27553252223094515,0.2802443777533298,H,11
2003-10-26,2004,Charlton,Arsenal,0.1681028577964304,0.24190436523525904,0.5899927769683105,D,11
2003-10-26,2004,Tottenham,Middlesbrough,0.5125645792180478,0.27157828934118144,0.2158571314407709,D,11
